date,fng_value,fng_classification
04-11-2022,30,Fear
03-11-2022,30,Fear
02-11-2022,30,Fear
01-11-2022,30,Fear
31-10-2022,31,Fear
30-10-2022,34,Fear
29-10-2022,34,Fear
28-10-2022,30,Fear
27-10-2022,32,Fear
26-10-2022,33,Fear
25-10-2022,20,Extreme Fear
24-10-2022,22,Extreme Fear
23-10-2022,23,Extreme Fear
22-10-2022,20,Extreme Fear
21-10-2022,23,Extreme Fear
20-10-2022,23,Extreme Fear
19-10-2022,23,Extreme Fear
18-10-2022,22,Extreme Fear
17-10-2022,20,Extreme Fear
16-10-2022,24,Extreme Fear
15-10-2022,24,Extreme Fear
14-10-2022,24,Extreme Fear
13-10-2022,20,Extreme Fear
12-10-2022,20,Extreme Fear
11-10-2022,24,Extreme Fear
10-10-2022,22,Extreme Fear
09-10-2022,22,Extreme Fear
08-10-2022,24,Extreme Fear
07-10-2022,23,Extreme Fear
06-10-2022,26,Fear
05-10-2022,25,Extreme Fear
04-10-2022,20,Extreme Fear
03-10-2022,24,Extreme Fear
02-10-2022,24,Extreme Fear
01-10-2022,20,Extreme Fear
30-09-2022,21,Extreme Fear
29-09-2022,22,Extreme Fear
28-09-2022,20,Extreme Fear
27-09-2022,20,Extreme Fear
26-09-2022,21,Extreme Fear
25-09-2022,24,Extreme Fear
24-09-2022,24,Extreme Fear
23-09-2022,20,Extreme Fear
22-09-2022,22,Extreme Fear
21-09-2022,23,Extreme Fear
20-09-2022,23,Extreme Fear
19-09-2022,21,Extreme Fear
18-09-2022,27,Fear
17-09-2022,22,Extreme Fear
16-09-2022,20,Extreme Fear
15-09-2022,28,Fear
14-09-2022,27,Fear
13-09-2022,34,Fear
12-09-2022,25,Extreme Fear
11-09-2022,26,Fear
10-09-2022,28,Fear
09-09-2022,22,Extreme Fear
08-09-2022,20,Extreme Fear
07-09-2022,24,Extreme Fear
06-09-2022,22,Extreme Fear
05-09-2022,23,Extreme Fear
04-09-2022,20,Extreme Fear
03-09-2022,21,Extreme Fear
02-09-2022,25,Extreme Fear
01-09-2022,20,Extreme Fear
31-08-2022,23,Extreme Fear
30-08-2022,27,Fear
29-08-2022,24,Extreme Fear
28-08-2022,28,Fear
27-08-2022,28,Fear
26-08-2022,27,Fear
25-08-2022,25,Extreme Fear
24-08-2022,25,Extreme Fear
23-08-2022,28,Fear
22-08-2022,29,Fear
21-08-2022,27,Fear
20-08-2022,29,Fear
19-08-2022,33,Fear
18-08-2022,30,Fear
17-08-2022,41,Fear
16-08-2022,44,Fear
15-08-2022,45,Fear
14-08-2022,47,Neutral
13-08-2022,46,Fear
12-08-2022,42,Fear
11-08-2022,41,Fear
10-08-2022,31,Fear
09-08-2022,42,Fear
08-08-2022,30,Fear
07-08-2022,30,Fear
06-08-2022,31,Fear
05-08-2022,31,Fear
04-08-2022,30,Fear
03-08-2022,34,Fear
02-08-2022,31,Fear
01-08-2022,33,Fear
31-07-2022,39,Fear
30-07-2022,42,Fear
29-07-2022,39,Fear
28-07-2022,32,Fear
27-07-2022,28,Fear
26-07-2022,26,Fear
25-07-2022,30,Fear
24-07-2022,30,Fear
23-07-2022,31,Fear
22-07-2022,33,Fear
21-07-2022,34,Fear
20-07-2022,31,Fear
19-07-2022,30,Fear
18-07-2022,20,Extreme Fear
17-07-2022,24,Extreme Fear
16-07-2022,21,Extreme Fear
15-07-2022,15,Extreme Fear
14-07-2022,18,Extreme Fear
13-07-2022,15,Extreme Fear
12-07-2022,16,Extreme Fear
11-07-2022,22,Extreme Fear
10-07-2022,24,Extreme Fear
09-07-2022,24,Extreme Fear
08-07-2022,20,Extreme Fear
07-07-2022,18,Extreme Fear
06-07-2022,18,Extreme Fear
05-07-2022,19,Extreme Fear
04-07-2022,14,Extreme Fear
03-07-2022,11,Extreme Fear
02-07-2022,14,Extreme Fear
01-07-2022,11,Extreme Fear
30-06-2022,11,Extreme Fear
29-06-2022,13,Extreme Fear
28-06-2022,10,Extreme Fear
27-06-2022,12,Extreme Fear
26-06-2022,14,Extreme Fear
25-06-2022,14,Extreme Fear
24-06-2022,11,Extreme Fear
23-06-2022,11,Extreme Fear
22-06-2022,11,Extreme Fear
21-06-2022,9,Extreme Fear
20-06-2022,9,Extreme Fear
19-06-2022,6,Extreme Fear
18-06-2022,6,Extreme Fear
17-06-2022,9,Extreme Fear
16-06-2022,7,Extreme Fear
15-06-2022,7,Extreme Fear
14-06-2022,8,Extreme Fear
13-06-2022,11,Extreme Fear
12-06-2022,14,Extreme Fear
11-06-2022,12,Extreme Fear
10-06-2022,13,Extreme Fear
09-06-2022,11,Extreme Fear
08-06-2022,17,Extreme Fear
07-06-2022,15,Extreme Fear
06-06-2022,13,Extreme Fear
05-06-2022,10,Extreme Fear
04-06-2022,14,Extreme Fear
03-06-2022,10,Extreme Fear
02-06-2022,13,Extreme Fear
01-06-2022,17,Extreme Fear
31-05-2022,16,Extreme Fear
30-05-2022,10,Extreme Fear
29-05-2022,14,Extreme Fear
28-05-2022,13,Extreme Fear
27-05-2022,12,Extreme Fear
26-05-2022,12,Extreme Fear
25-05-2022,11,Extreme Fear
24-05-2022,12,Extreme Fear
23-05-2022,10,Extreme Fear
22-05-2022,14,Extreme Fear
21-05-2022,13,Extreme Fear
20-05-2022,13,Extreme Fear
19-05-2022,13,Extreme Fear
18-05-2022,12,Extreme Fear
17-05-2022,8,Extreme Fear
16-05-2022,14,Extreme Fear
15-05-2022,10,Extreme Fear
14-05-2022,9,Extreme Fear
13-05-2022,10,Extreme Fear
12-05-2022,12,Extreme Fear
11-05-2022,12,Extreme Fear
10-05-2022,10,Extreme Fear
09-05-2022,11,Extreme Fear
08-05-2022,18,Extreme Fear
07-05-2022,23,Extreme Fear
06-05-2022,22,Extreme Fear
05-05-2022,27,Fear
04-05-2022,21,Extreme Fear
03-05-2022,27,Fear
02-05-2022,28,Fear
01-05-2022,22,Extreme Fear
30-04-2022,20,Extreme Fear
29-04-2022,23,Extreme Fear
28-04-2022,24,Extreme Fear
27-04-2022,21,Extreme Fear
26-04-2022,27,Fear
25-04-2022,23,Extreme Fear
24-04-2022,24,Extreme Fear
23-04-2022,24,Extreme Fear
22-04-2022,26,Fear
21-04-2022,27,Fear
20-04-2022,27,Fear
19-04-2022,27,Fear
18-04-2022,24,Extreme Fear
17-04-2022,28,Fear
16-04-2022,28,Fear
15-04-2022,22,Extreme Fear
14-04-2022,28,Fear
13-04-2022,25,Extreme Fear
12-04-2022,20,Extreme Fear
11-04-2022,32,Fear
10-04-2022,34,Fear
09-04-2022,30,Fear
08-04-2022,37,Fear
07-04-2022,34,Fear
06-04-2022,48,Neutral
05-04-2022,53,Neutral
04-04-2022,52,Neutral
03-04-2022,48,Neutral
02-04-2022,52,Neutral
01-04-2022,50,Neutral
31-03-2022,52,Neutral
30-03-2022,55,Greed
29-03-2022,56,Greed
28-03-2022,60,Greed
27-03-2022,49,Neutral
26-03-2022,51,Neutral
25-03-2022,47,Neutral
24-03-2022,40,Fear
23-03-2022,31,Fear
22-03-2022,26,Fear
21-03-2022,30,Fear
20-03-2022,31,Fear
19-03-2022,28,Fear
18-03-2022,25,Extreme Fear
17-03-2022,27,Fear
16-03-2022,24,Extreme Fear
15-03-2022,21,Extreme Fear
14-03-2022,23,Extreme Fear
13-03-2022,21,Extreme Fear
12-03-2022,22,Extreme Fear
11-03-2022,22,Extreme Fear
10-03-2022,28,Fear
09-03-2022,22,Extreme Fear
08-03-2022,21,Extreme Fear
07-03-2022,23,Extreme Fear
06-03-2022,22,Extreme Fear
05-03-2022,22,Extreme Fear
04-03-2022,33,Fear
03-03-2022,39,Fear
02-03-2022,52,Neutral
01-03-2022,51,Neutral
28-02-2022,20,Extreme Fear
27-02-2022,26,Fear
26-02-2022,26,Fear
25-02-2022,27,Fear
24-02-2022,23,Extreme Fear
23-02-2022,25,Extreme Fear
22-02-2022,20,Extreme Fear
21-02-2022,25,Extreme Fear
20-02-2022,27,Fear
19-02-2022,25,Extreme Fear
18-02-2022,30,Fear
17-02-2022,52,Neutral
16-02-2022,51,Neutral
15-02-2022,46,Fear
14-02-2022,46,Fear
13-02-2022,44,Fear
12-02-2022,44,Fear
11-02-2022,50,Neutral
10-02-2022,50,Neutral
09-02-2022,54,Neutral
08-02-2022,48,Neutral
07-02-2022,45,Fear
06-02-2022,37,Fear
05-02-2022,33,Fear
04-02-2022,20,Extreme Fear
03-02-2022,20,Extreme Fear
02-02-2022,28,Fear
01-02-2022,26,Fear
31-01-2022,20,Extreme Fear
30-01-2022,29,Fear
29-01-2022,24,Extreme Fear
28-01-2022,24,Extreme Fear
27-01-2022,20,Extreme Fear
26-01-2022,23,Extreme Fear
25-01-2022,12,Extreme Fear
24-01-2022,13,Extreme Fear
23-01-2022,11,Extreme Fear
22-01-2022,13,Extreme Fear
21-01-2022,19,Extreme Fear
20-01-2022,24,Extreme Fear
19-01-2022,24,Extreme Fear
18-01-2022,24,Extreme Fear
17-01-2022,22,Extreme Fear
16-01-2022,21,Extreme Fear
15-01-2022,23,Extreme Fear
14-01-2022,21,Extreme Fear
13-01-2022,21,Extreme Fear
12-01-2022,22,Extreme Fear
11-01-2022,21,Extreme Fear
10-01-2022,23,Extreme Fear
09-01-2022,23,Extreme Fear
08-01-2022,10,Extreme Fear
07-01-2022,18,Extreme Fear
06-01-2022,15,Extreme Fear
05-01-2022,24,Extreme Fear
04-01-2022,23,Extreme Fear
03-01-2022,29,Fear
02-01-2022,29,Fear
01-01-2022,21,Extreme Fear
31-12-2021,28,Fear
30-12-2021,22,Extreme Fear
29-12-2021,27,Fear
28-12-2021,41,Fear
27-12-2021,40,Fear
26-12-2021,37,Fear
25-12-2021,39,Fear
24-12-2021,41,Fear
23-12-2021,34,Fear
22-12-2021,45,Fear
21-12-2021,27,Fear
20-12-2021,25,Extreme Fear
19-12-2021,29,Fear
18-12-2021,24,Extreme Fear
17-12-2021,23,Extreme Fear
16-12-2021,29,Fear
15-12-2021,28,Fear
14-12-2021,21,Extreme Fear
13-12-2021,28,Fear
12-12-2021,27,Fear
11-12-2021,16,Extreme Fear
10-12-2021,24,Extreme Fear
09-12-2021,29,Fear
08-12-2021,28,Fear
07-12-2021,25,Extreme Fear
06-12-2021,16,Extreme Fear
05-12-2021,18,Extreme Fear
04-12-2021,25,Extreme Fear
03-12-2021,31,Fear
02-12-2021,32,Fear
01-12-2021,34,Fear
30-11-2021,40,Fear
29-11-2021,33,Fear
28-11-2021,27,Fear
27-11-2021,21,Extreme Fear
26-11-2021,47,Neutral
25-11-2021,32,Fear
24-11-2021,42,Fear
23-11-2021,33,Fear
22-11-2021,50,Neutral
21-11-2021,49,Neutral
20-11-2021,43,Fear
19-11-2021,34,Fear
18-11-2021,54,Neutral
17-11-2021,52,Neutral
16-11-2021,71,Greed
15-11-2021,72,Greed
14-11-2021,74,Greed
13-11-2021,72,Greed
12-11-2021,74,Greed
11-11-2021,77,Extreme Greed
10-11-2021,75,Greed
09-11-2021,84,Extreme Greed
08-11-2021,75,Greed
07-11-2021,73,Greed
06-11-2021,71,Greed
05-11-2021,73,Greed
04-11-2021,73,Greed
03-11-2021,76,Extreme Greed
02-11-2021,73,Greed
01-11-2021,74,Greed
31-10-2021,74,Greed
30-10-2021,73,Greed
29-10-2021,70,Greed
28-10-2021,66,Greed
27-10-2021,73,Greed
26-10-2021,76,Extreme Greed
25-10-2021,72,Greed
24-10-2021,73,Greed
23-10-2021,74,Greed
22-10-2021,75,Greed
21-10-2021,84,Extreme Greed
20-10-2021,82,Extreme Greed
19-10-2021,75,Greed
18-10-2021,78,Extreme Greed
17-10-2021,79,Extreme Greed
16-10-2021,78,Extreme Greed
15-10-2021,71,Greed
14-10-2021,70,Greed
13-10-2021,70,Greed
12-10-2021,78,Extreme Greed
11-10-2021,71,Greed
10-10-2021,71,Greed
09-10-2021,72,Greed
08-10-2021,74,Greed
07-10-2021,76,Extreme Greed
06-10-2021,68,Greed
05-10-2021,59,Greed
04-10-2021,54,Neutral
03-10-2021,49,Neutral
02-10-2021,54,Neutral
01-10-2021,27,Fear
30-09-2021,20,Extreme Fear
29-09-2021,24,Extreme Fear
28-09-2021,25,Extreme Fear
27-09-2021,26,Fear
26-09-2021,27,Fear
25-09-2021,28,Fear
24-09-2021,33,Fear
23-09-2021,27,Fear
22-09-2021,21,Extreme Fear
21-09-2021,27,Fear
20-09-2021,50,Neutral
19-09-2021,53,Neutral
18-09-2021,50,Neutral
17-09-2021,48,Neutral
16-09-2021,53,Neutral
15-09-2021,49,Neutral
14-09-2021,30,Fear
13-09-2021,44,Fear
12-09-2021,32,Fear
11-09-2021,31,Fear
10-09-2021,46,Fear
09-09-2021,45,Fear
08-09-2021,47,Neutral
07-09-2021,79,Extreme Greed
06-09-2021,79,Extreme Greed
05-09-2021,73,Greed
04-09-2021,72,Greed
03-09-2021,74,Greed
02-09-2021,74,Greed
01-09-2021,71,Greed
31-08-2021,73,Greed
30-08-2021,73,Greed
29-08-2021,72,Greed
28-08-2021,78,Extreme Greed
27-08-2021,71,Greed
26-08-2021,75,Greed
25-08-2021,73,Greed
24-08-2021,79,Extreme Greed
23-08-2021,79,Extreme Greed
22-08-2021,76,Extreme Greed
21-08-2021,78,Extreme Greed
20-08-2021,70,Greed
19-08-2021,70,Greed
18-08-2021,73,Greed
17-08-2021,72,Greed
16-08-2021,72,Greed
15-08-2021,71,Greed
14-08-2021,76,Extreme Greed
13-08-2021,70,Greed
12-08-2021,70,Greed
11-08-2021,70,Greed
10-08-2021,71,Greed
09-08-2021,65,Greed
08-08-2021,74,Greed
07-08-2021,69,Greed
06-08-2021,52,Neutral
05-08-2021,50,Neutral
04-08-2021,42,Fear
03-08-2021,48,Neutral
02-08-2021,48,Neutral
01-08-2021,60,Greed